object,min_time,max_time,min_flux,max_flux,error1,masked_error1,error2,masked_error2,error3,masked_error3,mean,combined_amplitude,amplitude1,frequency1,hshift1,amplitude2,frequency2,hshift2,amplitude3,frequency3,hshift3,normalized_error1,normalized_masked_error1,normalized_error2,normalized_masked_error2,normalized_error3,normalized_masked_error3,normalized_mean,normalized_combined_amplitude,normalized_amplitude1,normalized_frequency1,normalized_hshift1,normalized_amplitude2,normalized_frequency2,normalized_hshift2,normalized_amplitude3,normalized_frequency3,normalized_hshift3
229,131.55322137063922,164.94265710502805,6522.432,6552.07,21.48945807964736,22.78808772268176,20.472968745417077,18.51416946358408,19.223635893434498,14.242207309321431,6535.351435026385,6.924820358398115,5.931306988473872,0.03380420140576811,185.86995242867852,3.0154428525530603,0.016902100702884056,371.73990485735703,1.9182905951791225,0.05070630210865216,123.91330161911903,17.733212549791862,0.37268166768872835,19.153090105506436,0.5974579694138098,21.47359702590011,0.9090725879249646,0.43590778819034603,0.23364668190829796,0.20012507552715733,1.1287032103902308,5.566729366355995,0.10174245403040245,0.5643516051951154,11.13345873271199,0.0647240230507837,1.693054815585346,3.711152910903997
230,131.51241727740853,164.98354989859217,12690.561,12714.48,16.31455365017299,9.462234669480512,16.586661272853945,10.66906625124117,16.496664513356862,10.929671113870292,12700.970623717949,2.705978335160357,2.400935622770103,0.39420727258740623,15.938785872567678,0.9961943772145989,0.9855181814685156,6.375514349027072,0.7519465728871767,0.19710363629370312,31.877571745135356,16.480070837867682,0.37489733338102565,16.447145196795802,0.40437199555332803,16.427876759561716,0.42703253566754296,0.4352031321522254,0.11313091413354955,0.10037775921945384,13.194563901008166,0.4761949962362532,0.04164866328920959,32.986409752520416,0.19047799849450128,0.03143720777988967,6.597281950504083,0.9523899924725064
231,131.51182660649647,164.98310187748575,9801.48,9866.259,44.35943917811104,148.38166749933828,46.13075251325471,146.70067285038522,45.49753428270653,142.73528947101897,9825.828106177607,24.989274361155523,22.296934783412347,0.19786429065909836,31.75502404324652,10.991203503231466,0.3957285813181967,15.87751202162326,2.550289770185687,0.7914571626363934,7.93875601081163,42.21070705166966,2.1452665561679662,42.944887555466075,2.615931771237972,42.8757508922325,2.653743668661435,0.3758641871224695,0.385761965469602,0.3442000460552369,6.622770138949715,0.9487246537860391,0.16967232441426058,13.24554027789943,0.47436232689301955,0.03936908211280923,26.49108055579886,0.23718116344650977
232,131.51169059923268,164.98298595751112,9997.952,10040.457,20.187479325425695,33.234729750370015,20.84916280510257,37.60926659794861,20.797873331558776,38.493507672982595,10017.547522087067,10.458931785388208,9.133816154243544,0.3937017968052677,15.959249762549009,4.492236595937997,0.19685089840263384,31.918499525098017,2.4046760526105917,0.7874035936105354,7.979624881274504,16.162318097361588,0.5533544900990437,18.464689346437538,0.7433742559985103,18.86103628649353,0.7687045474071803,0.4610168706521134,0.24606356394278217,0.21488804033039227,13.17770912395404,0.476804067237924,0.10568725081608961,6.58885456197702,0.953608134475848,0.05657395724292516,26.35541824790808,0.238402033618962
233,131.51164920275914,164.98294920915214,9940.871,9968.173,18.823621426987547,11.742143768383105,19.65535989943515,16.29782895879114,18.555433737433262,17.645760491747478,9954.245482849603,5.082139912945604,3.0556293406299653,0.8112958194380573,7.744629217406327,2.956026879242103,0.40564790971902864,15.489258434812655,2.7844533604702777,0.6084718645785429,10.326172289875103,18.277650662855947,0.4070096905210191,20.741746700962384,0.6512648056114939,22.347302305304847,0.9502781625195695,0.4898719086368877,0.18614533414934167,0.11191961543585813,27.155125766343655,0.23138118973350627,0.10827144089231343,13.577562883171828,0.46276237946701254,0.10198715700205574,20.366344324757744,0.3085082529780083
234,131.51257946513942,164.98420396340953,8510.196,8530.911,16.788919116659965,2.5084010255086593,16.837909416174764,3.2142979154788676,16.962681424384705,4.055209778694893,8519.395958360232,0.9986098893811498,0.614300341369075,0.992500530940918,6.330661910299385,0.5612593484604169,0.3970002123763672,15.826654775748466,0.5521274721741877,9.329504990844628,0.6734746713084454,17.107426423243847,0.1265821217061079,17.0387007262947,0.17725882206564073,17.134783808404098,0.20825544470519464,0.44412060633513994,0.048207090966987345,0.029654855967611422,33.22060508598811,0.18913518555475461,0.027094344603447406,13.288242034395244,0.47283796388688654,0.026653510604594928,312.27368780828823,0.020120764420718574
235,131.51292957013356,164.98435563720705,5533.684,5561.223,26.980825468436336,27.65704729588436,27.691504005768756,32.034159110506565,28.017628046701955,33.47355805905945,5546.669345413143,6.771600623748962,5.760077930346977,0.4001016436318804,15.70397274588686,3.341140618489824,0.2000508218159402,31.40794549177372,1.2299823622168171,1.200304930895641,5.234657581962287,27.55926520156767,0.9977149899907554,28.050288874156543,1.1601158960446554,28.52258524527244,1.2088252815225782,0.4715256695283924,0.24589130410505183,0.2091607513107603,13.391972584139067,0.46917549059360736,0.12132396305203,6.695986292069533,0.9383509811872147,0.04466329068654736,40.175917752417206,0.1563918301978691
236,131.51302186524845,164.98435734501982,9405.441,9819.387,39.12862221518657,824.4227393005737,39.306818781700144,1029.407218613799,38.18544554892533,929.0404199667521,9638.610733840304,148.4926322696956,123.62369218555658,0.3897070172156766,16.122843648212438,67.50120480991761,0.1948535086078383,32.245687296424876,47.01948445063345,0.5845605258235149,10.748562432141625,20.189049695964375,0.7800310735503473,21.762953367568908,1.0274320965190524,23.038041670950843,0.9675052286142362,0.5632853894959814,0.3587246458951063,0.29864690608329736,13.044014312046945,0.4816910773684663,0.16306765812429067,6.522007156023473,0.9633821547369326,0.11358844982348774,19.566021468070417,0.32112738491231085
237,131.513031166367,164.9843304009264,10600.345,10631.319,18.123519508270512,8.073457874444841,18.999428009833643,10.933468905101062,18.91448472704721,12.951591277798597,10614.634639211887,3.2415168545291526,2.0720104410812805,0.39725991784771225,15.81630822767329,1.9042193898161857,0.19862995892385613,31.63261645534658,1.6087736838022935,0.7945198356954245,7.908154113836645,19.005322425229426,0.30428117174200087,19.799669661022243,0.41674828441332257,20.203460837241664,0.5065020023459361,0.46134303647855857,0.1046528331674674,0.06689515209792954,13.296805584177264,0.4725334417656191,0.06147799411816929,6.648402792088632,0.9450668835312382,0.051939487434696355,26.593611168354528,0.23626672088280956
238,131.51274080233998,164.9841840922454,13760.455,13800.784,18.364384338297118,25.79083731622019,20.322734864888652,32.54424970626077,21.907131089202338,37.09802197129703,13780.059551868557,8.534005361877819,6.982839808205617,0.5943522259656266,10.571484437483983,3.5821127193474185,0.1981174086552089,31.714453312451948,3.3522625486956907,0.7924696346208356,7.928613328112987,20.278708128862522,0.7265030139059631,21.596960892002002,0.8536028497471568,22.38454804614079,0.9272781948248808,0.4861154967531287,0.21160964471913205,0.17314686226302822,19.893826825637536,0.31583593052505776,0.08882225493683063,6.631275608545844,0.9475077915751732,0.08312287804546886,26.525102434183378,0.2368769478937933
