object,min_time,max_time,min_flux,max_flux,linearfunc_error,linearfunc_slope,linearfunc_intercept,sinfunc_error,sinfunc_mean,sinfunc_amplitude,sinfunc_frequency,sinfunc_h_shift,skewsin_error,skewsin_mean,skewsin_amplitude,skewsin_frequency,skewsin_h_shift,twotrigs_error,twotrigs_mean,twotrigs_amplitude1,twotrigs_frequency1,twotrigs_hshift1,twotrigs_amplitude2,twotrigs_frequency2,twotrigs_hshift2,threetrigs_error,threetrigs_mean,threetrigs_amplitude1,threetrigs_frequency1,threetrigs_hshift1,threetrigs_amplitude2,threetrigs_frequency2,threetrigs_hshift2,threetrigs_amplitude3,threetrigs_frequency3,threetrigs_hshift3
11,131.5120452097326,164.983709005508,49117.652,49162.633,17.132234470840622,-0.01710076536568861,49141.3096694065,14.526363386892417,49138.630683728436,-6.827322170298711,0.27495604719535155,18.8709309763141,14.846039043397536,49138.618059584594,5.8955729536434776,0.312068036457726,14.930240539947807,14.528495633867019,49138.66720600342,-6.654122331312545,0.27843494402978564,18.370840543051468,-0.2891675032554737,0.17679909060003485,-17.297252234074744,14.535849901735709,49097.572131814835,-29.081620206428774,0.19468830760481365,30.831424902309745,-3985460.571033363,0.06474146715205911,-0.0006726473196395179,3985381.177234437,0.06474365901530695,-0.0010044604300535125
12,120.53912173622666,130.22494167956756,59048.65,59108.15,12.939360317761079,-3.0130861334803942,59452.48848562552,12.195089136416255,59072.85763851914,-12.02190488671916,0.42188209855581355,34.71027665324281,13.932630210812802,59074.96214953418,-10.553406346032252,0.7148986043352459,-3.4509642757851537,12.183342475118035,58716.73320477864,-325.05186210410864,0.14946177432766428,69.65945702631726,-681.8127359387356,0.08442507768724752,-0.34395607742741247,11.995986416681587,57271.52416329569,-2.3889150611009136,1.597466458187688,-114.03365746293154,-4617758.094150624,0.11072970360101417,-0.000916122546271366,4619552.990519549,0.11070765242745692,0.001907347028564996
13,120.64136609129493,130.24549478304107,1792504.9,1793462.9,7.712800527727011,-39.934775761060656,1797889.6134698947,7.4189029183259,1792869.1728649633,151.916952096496,0.38481415208466163,42.69108143336579,9.209784069625078,1792882.597510035,133.93784046544334,0.7096348433697852,0.5329663873977435,7.2644678477562605,1767951.4086538064,-17494.70668703075,0.17715357232684678,67.18760920532657,42380.0814137778,0.1120338811775054,0.014049567118487375,7.2685100885118565,1818915.850270525,-1148.1734922304747,0.36353675606162533,43.94040741072871,-134321589.81164625,0.11380037648027447,0.0007484644870690439,134296664.5139777,0.11381553698772509,-0.0011419491635192896
14,120.5391271280605,130.2454249043949,222724.67,222868.14,15.813936403851022,-1.4346689944907827,222965.7300882574,13.839295390550916,222784.54139439767,-18.363384542044056,2.043317759029469,3.3313728874289543,13.50692232497085,222784.04170105656,-19.287645676644942,2.0598532179508746,-0.2706881251720668,12.29788920936759,222787.47893488122,-15.737020845341512,2.06134650845992,0.9559397936581184,16.505314127388342,1.0217153129827974,-88.25752642403377,13.157922052667681,222765.61020423658,-19.946665884530308,2.0753417460580654,-0.6510418186836886,26371439.18596022,0.32842596428422083,0.0221944819751469,-26371447.61840492,0.328425722255271,0.022225623453949968
15,131.51176318680518,164.98314203273912,45261.76,45330.344,11.562777005201843,0.20496761647110515,45254.59222001893,9.85727945980062,45284.13371486545,7.270717408580824,0.21254462105363817,-1.1698638830107806,9.641437351825722,45284.56835416571,7.71023077307123,0.19841607088917768,-0.6559139639876495,9.424445879839723,45285.92530605102,3.9541400282492103,0.44575203210823156,-36.247977799095565,-8.720697974095835,0.1746932927496767,-23.94264827263513,9.372784095544299,51892.73966623711,6.5807321814115936,0.3739936960201125,-25.45173414299692,-3356602.7861747495,0.03149010572430206,-0.0004800987586124648,3363214.049799496,0.03145909041025221,0.004166328187161554
16,120.53888639700745,130.24513021309394,275554.28,275859.97,15.65459159023061,-4.415653623953884,276227.0450588649,14.572609051869758,275677.51896732417,-40.969503709590754,1.1333498166122744,-74.47935657575601,15.381476198360607,275672.2358797247,16.973400583164885,0.5295448840012368,-2.4211146095070686,13.220979410219039,431487.31153860537,144212.57878033532,0.1272213557432001,48.42238849691714,299991.63218513987,0.08758809960839781,-0.006430275174577984,9.258726537299498,274500.72876649693,16477.562151731017,1.7489554619807,-151.3516615004499,1186.9277294405865,0.06379108407620249,-0.07735259581956484,16466.570891727257,1.7475411931894707,-204.57914040232947
17,131.51170357028604,164.98318258496874,29465.027,30366.572,21.562069777446805,-4.742078037610241,30700.204685143843,15.75804134499276,29968.49374961532,-253.6377365641368,0.505402422958164,11.950248545676654,19.032630370024822,30002.783926635617,161.32710995207776,0.5982928581883207,-0.14309174775660075,15.561640394570404,31890.522717527445,-249.322025952263,0.5032282442776257,12.247973201497189,-2129.9115875622815,0.0032345633638351462,13.213532511121509,15.584742539814808,68348.18638202581,-250.94669651575742,0.518097984649277,10.01645886855101,-4691374.741459272,0.040927463795945654,8.04141157383059,4653013.295575319,0.041100890963311515,8.015591295893083
18,120.53852842780908,130.24490460613742,55839.73,55902.72,13.829292955926913,0.9936801636105679,55734.65565546015,13.173152494875312,55859.25755203254,6.841368180391667,0.7219060135437181,-2.7355043331182367,12.72424796909393,55859.47159149109,7.64962635711142,0.6761479663958223,1.4550034350118088,11.689631400944293,55859.11188014102,9.434033001187867,1.1597046934674342,-59.67585401855734,10.778094774533407,0.8559508742954017,-94.61336081298141,11.760041151794413,58796.25885358044,8.023013939593573,1.098500912860118,-51.47675961454602,4391150.134366482,0.10998934505590685,-0.005127570453478934,-4394083.323150123,0.10994877887250752,7.841320459997015e-05
19,120.55975655592192,130.24575594079215,244324.83,244518.5,14.006765713731076,-10.462976730661193,245730.56182082946,13.47336810424812,244418.3370185262,39.77419665741259,0.4751044488482144,25.267356388705164,13.44244906937326,244418.1473651617,-42.00276721991569,0.6151012059975027,9.290238932655978,13.392126532710039,242661.95914659667,396.66484244435406,0.26436012261503544,52.69053898719122,-2122.5168538327357,0.10081285400886564,-1.8191770840301356,13.39627781867975,240809.84561285493,101.62913111090988,-0.32551877697001,127.55937766239538,-20551365.09518151,0.10875545947270175,0.00778250425160161,20554981.693385836,0.10874634352155518,0.00897848159861747
20,131.51264379077475,164.9840286421677,154731.34,154890.77,18.205011312451816,1.1206345981374926,154641.67712693155,14.020999832857669,154806.8861542451,36.94026135332681,0.549231424468966,7.545194355844766,14.71446159828227,154808.56695486396,35.01739768572509,0.5900278867413551,-0.21993248588884093,13.315599718108896,116342.02149245275,37.0155475297925,0.5136042662746082,13.07708053131815,38473.69711130507,0.0022510393194246636,13.793720338114799,11.451605950557571,155321.54429812287,39.9535722963567,0.5567219670988023,6.5972296493028795,-15356243.224679241,0.09605582627193263,-0.0016839946081216224,15355745.789278436,0.09605778077045057,-0.001972038946950892
