time,flux,object
126.97590788015076,406273.56,1
126.99634222578608,406273.06,1
127.01677647119504,406256.8,1
127.03721061660326,406207.88,1
127.05764496200572,406247.06,1
127.0780792074147,406224.0,1
127.0985133527065,406244.03,1
127.11894759787538,406205.6,1
127.13938194305229,406212.8,1
127.15981618822843,406228.12,1
127.18025033339654,406180.44,1
127.20068467834062,406135.8,1
127.22111892340035,406220.47,1
127.24155306833563,406220.1,1
127.26198731327896,406198.03,1
127.2824216581066,406243.88,1
127.30285580292548,406186.62,1
127.32329004763596,406191.6,1
127.3437243923472,406232.12,1
127.36415853704966,406192.3,1
127.38459278164372,406190.88,1
127.4050270262378,406199.84,1
127.42546127070818,406132.12,1
127.44589551518584,406173.94,1
127.4663297596635,406208.88,1
127.48676410401822,406241.47,1
127.50719824826228,406248.88,1
127.52763249250712,406181.22,1
127.54806663675116,406208.75,1
127.56850098098948,406192.75,1
127.5889352251179,406175.44,1
127.6502379571466,406047.1,1
127.75240907625994,406219.3,1
127.77284331992269,406161.34,1
127.7932776634625,406189.5,1
127.81371180700808,406250.6,1
127.8341460505544,406181.47,1
127.85458039409424,406146.25,1
127.87501453752338,406214.84,1
127.89544878083689,406138.9,1
127.9158830241504,406165.12,1
127.93631726745662,406179.56,1
127.9567515106537,406087.06,1
127.9771857537271,406081.38,1
127.99762009692496,406155.06,1
128.01805424000486,406108.5,1
128.03848848296911,406171.62,1
128.05892262592533,406139.22,1
128.07935696889035,406077.53,1
128.09979121173092,406118.97,1
128.12022545446234,406120.28,1
128.14065969719377,406123.4,1
128.1610939399252,406131.66,1
128.18152818264934,406156.84,1
128.20196232514718,406107.12,1
128.22239666775567,406070.47,1
128.24283091025427,406146.88,1
128.2632650526357,406156.06,1
128.28369939501863,406085.2,1
128.30413363739353,406172.78,1
128.32456777965854,406140.28,1
128.36543636406714,406139.53,1
128.38587060621649,406107.12,1
128.40630484824942,406147.34,1
128.42673909027508,406194.03,1
128.447173332308,406111.56,1
128.46760757421723,406152.25,1
128.4880417160166,406128.72,1
128.50847605793388,406123.5,1
128.52891029961756,406120.7,1
128.5493444412932,406100.5,1
128.56977878297766,406104.75,1
128.59021302465408,406155.4,1
128.61064716610417,406136.56,1
128.63108140767145,406114.4,1
128.65151574912306,406130.3,1
128.67194999045023,406175.1,1
128.6923841317839,406160.3,1
128.71281847311184,406111.97,1
128.73325271432986,406113.16,1
128.75368685543071,406232.28,1
128.77412109664874,406112.25,1
128.81498957872827,406152.47,1
128.83542381958978,406200.47,1
128.85585806057497,406160.2,1
128.87629230132734,406187.75,1
128.89672654219612,406200.75,1
128.9171607829412,406185.2,1
128.93759502357716,406196.3,1
128.95802926420583,406165.72,1
128.97846350484178,406176.4,1
128.99889764536056,406166.03,1
129.01933198576444,406138.3,1
129.0397662262767,406151.22,1
129.06020036656264,406130.9,1
129.08063470684283,406168.3,1
129.10106894712953,406187.16,1
129.12150318729982,406192.8,1
129.14193732746935,406164.6,1
129.1623716675167,406228.25,1
129.18280590757058,406403.5,1
129.20324004750728,406168.28,1
129.22367438743822,406220.84,1
129.24410862737568,406166.16,1
129.26454276719596,406235.72,1
129.2849770068933,406245.66,1
129.3054113465987,406253.2,1
129.32584548630257,406226.78,1
129.3462797258835,406237.2,1
129.36671406535606,406293.44,1
129.3871482048271,406174.72,1
129.40758244429162,406264.47,1
129.428016683647,406317.44,1
129.44845102287945,406203.5,1
129.46888516211766,406244.34,1
129.48931940135662,406218.28,1
129.50975374047994,406272.25,1
129.53018787959445,406257.8,1
129.5506221186006,406282.5,1
129.57105635760672,406334.88,1
129.59149059648917,406210.47,1
129.6119248353789,406259.84,1
129.6323590741522,406304.06,1
129.65279331291822,406298.3,1
129.6732275515751,406282.9,1
129.693661790232,406285.12,1
129.7140960287652,406286.9,1
129.73453026730567,406268.94,1
129.75496450572973,406325.56,1
129.77539874414651,406347.0,1
129.79583308245492,406263.72,1
129.8162672207618,406370.6,1
129.83670145894575,406358.62,1
129.85713569713698,406361.84,1
129.8775699353282,406324.44,1
129.89800417339575,406442.72,1
129.91843841135417,406388.7,1
129.93887264931254,406348.12,1
129.95930688714725,406362.47,1
129.97974112498923,406352.0,1
130.00017526271404,406358.53,1
130.0206096004331,406351.12,1
130.04104383815866,406426.7,1
130.06147797576705,406416.34,1
130.0819122132525,406416.66,1
130.102346550746,406427.78,1
130.12278068812157,406383.4,1
130.24538621143438,406187.22,1
120.53881583872862,1034944.94,2
120.55925017884148,1035051.06,2
120.57968441895356,1035008.75,2
120.60011885905988,1035009.6,2
120.62055319923093,1034975.44,2
120.640987439343,1035041.3,2
120.66142177950678,1035024.75,2
120.6818562196786,1035008.44,2
120.70229045979067,1035073.4,2
120.72272479995443,1035042.2,2
120.74315924018448,1035056.25,2
120.76359348035476,1035123.7,2
120.78402782051852,1035120.3,2
120.8044621607478,1035141.3,2
120.82489650091884,1035081.94,2
120.84533084114082,1035054.7,2
120.86576518137008,1035063.5,2
120.8861996216001,1035091.9,2
120.90663386182132,1035122.44,2
120.92706820205058,1035085.4,2
