object,min_time,max_time,min_flux,max_flux,linearfunc_error,linearfunc_maskederror,linearfunc_amplitude,linearfunc_intercept,linearfunc_slope,linearfunc_nomalized_error,linearfunc_nomalized_maskederror,linearfunc_nomalized_amplitude,linearfunc_nomalized_intercept,linearfunc_nomalized_slope,sinfunc_error,sinfunc_maskederror,sinfunc_amplitude,sinfunc_frequency,sinfunc_hshift,sinfunc_mean,sinfunc_nomalized_error,sinfunc_nomalized_maskederror,sinfunc_nomalized_amplitude,sinfunc_nomalized_frequency,sinfunc_nomalized_hshift,sinfunc_nomalized_mean,skewsin_error,skewsin_maskederror,skewsin_amplitude,skewsin_frequency,skewsin_hshift,skewsin_mean,skewsin_nomalized_error,skewsin_nomalized_maskederror,skewsin_nomalized_amplitude,skewsin_nomalized_frequency,skewsin_nomalized_hshift,skewsin_nomalized_mean,twotrigs_error,twotrigs_masked_error,twotrigs_mean,twotrigs_combined_amplitude,twotrigs_amplitude1,twotrigs_frequency1,twotrigs_hshift1,twotrigs_amplitude2,twotrigs_frequency2,twotrigs_hshift2,twotrigs_nomalized_error,twotrigs_nomalized_masked_error,twotrigs_nomalized_mean,twotrigs_nomalized_combined_amplitude,twotrigs_nomalized_amplitude1,twotrigs_nomalized_frequency1,twotrigs_nomalized_hshift1,twotrigs_nomalized_amplitude2,twotrigs_nomalized_frequency2,twotrigs_nomalized_hshift2,threetrigs_error,threetrigs_masked_error,threetrigs_mean,threetrigs_combined_amplitude,threetrigs_amplitude1,threetrigs_frequency1,threetrigs_hshift1,threetrigs_amplitude2,threetrigs_frequency2,threetrigs_hshift2,threetrigs_amplitude3,threetrigs_frequency3,threetrigs_hshift3,threetrigs_nomalized_error,threetrigs_nomalized_masked_error,threetrigs_nomalized_mean,threetrigs_nomalized_combined_amplitude,threetrigs_nomalized_amplitude1,threetrigs_nomalized_frequency1,threetrigs_nomalized_hshift1,threetrigs_nomalized_amplitude2,threetrigs_nomalized_frequency2,threetrigs_nomalized_hshift2,threetrigs_nomalized_amplitude3,threetrigs_nomalized_frequency3,threetrigs_nomalized_hshift3
11,131.5120452097326,164.983709005508,49117.652,49162.633,7.7062503873287795,1.811194719833415,49139.060712778606,49141.3096694065,-0.01710076536568861,0.17132234470840724,88.1361405677223,0.47595012957938687,0.47595012957938687,-0.012725174384090373,14.526363386892417,1.9150778599648735,49138.630683728436,6.827322170298711,0.27495604719535155,18.8709309763141,14.526363763446254,0.0425752862346687,0.46638987820952804,0.15178233845303402,9.203242505458741,1.6238844475625052,14.846039043397536,2.054661561875899,49138.618059584594,5.8955729536434776,0.312068036457726,14.930240539947807,14.680532595949284,0.0419068478865838,0.4661164254042091,0.1548648422912744,9.060256932048343,3.2361509416826726,14.528495633867019,0.006763002069359313,49138.66720600342,49138.67368443183,49138.66720600342,-6.654122331312545,0.27843494402978564,18.370840543051468,-0.2891675032554737,0.17679909060003485,14.528521602556625,0.043637052756880346,0.46729611024653495,3.763997416450487,0.46729611024653495,0.1484480090379405,9.314177950458843,1.58312933399676,0.005991212082046683,5.680994685953964,14.535849901735709,0.006766423643155375,49097.572131814835,49097.58181230033,49097.572131814835,-29.081620206428774,0.19468830760481365,30.831424902309745,-3985460.571033363,0.06474146715205911,-0.0006726473196395179,3985381.177234437,0.06474365901530695,14.534865698089341,0.007551757604922827,21.281129821381505,21.729174554146276,-21.281129821381505,3.301577612910987,4.867851632613768,4.388001351649587,169.79153181775524,2.0630838065386254,0.04087701012679404,-151.19020861060233,2.28578026322883
12,120.53912173622666,130.22494167956756,59048.65,59108.15,7.698919389067842,1.5657030067447468,59089.293729380195,59452.48848562552,-3.0130861334803942,0.1293936031776119,38.15848504979277,0.6830878887427277,0.6830878887427277,-0.4904909203809797,12.195089136416255,2.239132052879607,59072.85763851914,12.02190488671916,0.42188209855581355,34.71027665324281,12.195089767995055,0.03763245160640286,0.40685103650226423,0.20204868468250844,4.086270103247282,0.7405746902826262,13.932630210812802,2.3358805806525065,59074.96214953418,10.553406346032252,0.7148986043352459,3.4509642757851537,12.263454681798653,0.03885600538739806,0.431451359299294,0.19340719611454035,4.849908552677229,2.0762522925791678,,,,,,,,,,,,,,,,,,,,,11.995986416681587,0.007174210543635951,57271.52416329569,57271.63768971515,57271.52416329569,-2.3889150611009136,1.597466458187688,-114.03365746293154,-4617758.094150624,0.11072970360101417,-0.000916122546271366,4619552.990519549,0.11070765242745692,12.183532672314897,0.020854854337407358,4.854114620792569,5.719499217780612,-4.854114620792569,2.625917611526154,1.1490774652756977,3.0248188157515257,138.28373120063534,1.0584905326538128,0.019088548480213574,-130.17411100213204,1.09359691878449
13,120.64136609129493,130.24549478304107,1792504.9,1793462.9,73.88862905562476,4.708908884240981,1793071.8275675308,1797889.6134698947,-39.934775761060656,0.07712800527727932,15.372979570852998,0.5917824295729688,0.5917824295729688,-0.4003535758718696,7.4189029183259,20.47201422437322,1792869.1728649633,151.916952096496,0.38481415208466163,42.69108143336579,7.418897402472665,0.021369733092140186,0.38024413244125216,0.15857535985874194,3.695908099904409,1.1509452994788911,9.209784069625078,24.081127560960194,1792882.597510035,133.93784046544334,0.7096348433697852,0.5329663873977435,7.535659609239525,0.01987015961802307,0.39348286152650097,0.15801552176684877,4.227056971108599,5.7162475059039135,,,,,,,,,,,,,,,,,,,,,7.2685100885118565,0.02083788154695422,1818915.850270525,1818915.8508012695,1818915.850270525,-1148.1734922304747,0.36353675606162533,43.94040741072871,-134321589.81164625,0.11380037648027447,0.0007484644870690439,134296664.5139777,0.11381553698772509,,,,,,,,,,,,,
14,120.5391271280605,130.2454249043949,222724.67,222868.14,22.688254558605244,3.3083215321474184,222792.7963399438,222965.7300882574,-1.4346689944907827,0.15813936403850493,73.50817999591084,0.4748472847545539,0.4748472847545539,-0.0970608801212914,13.839295390550916,6.7161297779672315,222784.54139439767,18.363384542044056,2.043317759029469,3.3313728874289543,13.839289222168516,0.04681199038939217,0.41730988032797994,0.12799426613710083,19.83298554662171,1.4453251867581758,13.50692232497085,6.411709170778158,222784.04170105656,19.287645676644942,2.0598532179508746,0.2706881251720668,14.300124961719238,0.04909204486743203,0.4207028283728061,0.11153300472816119,19.664897140913403,0.12346268628593907,12.29788920936759,0.010410350223881636,222787.47893488122,222787.49641859377,222787.47893488122,-15.737020845341512,2.06134650845992,0.9559397936581184,16.505314127388342,1.0217153129827974,12.297829645558927,0.03641563798125225,0.4377840364344235,3.094183283951236,0.4377840364344235,0.10969431750543261,20.008491170282795,1.2428229189693378,0.11504483770094986,9.916478754089042,13.157922052667681,0.011687157365827323,222765.61020423658,222765.61020519017,222765.61020423658,-19.946665884530308,2.0753417460580654,-0.6510418186836886,26371439.18596022,0.32842596428422083,0.0221944819751469,-26371447.61840492,0.328425722255271,11.673982228026079,0.04248236905774701,0.5387396439516441,2.4618278142252294,0.5387396439516441,0.10296826979136078,20.460494528575058,1.2653805561949156,-238.58554810198808,6.214334574439162,-1.443193874659035,238.5804210912518,6.217507068682958
15,131.51176318680518,164.98314203273912,45261.76,45330.344,7.9302149812470875,2.1553234754813086,45288.4084213993,45254.59222001893,0.20496761647110515,0.11562777005202408,47.90239506511753,0.3885515776169384,0.28852024753918093,0.10003133007775748,9.85727945980062,2.036752742800099,45284.13371486545,7.270717408580824,0.21254462105363817,1.1698638830107806,9.85727643977125,0.029696875750044805,0.3262290319442454,0.1060122247998207,7.113682349358732,4.633362558290852,9.641437351825722,2.001373906379892,45284.56835416571,7.71023077307123,0.19841607088917768,0.6559139639876495,9.66745646364789,0.029548575977857688,0.3247698686359263,0.112219930756248,7.405765653478871,0.07066511831787163,9.424445879839723,0.007523639364350172,45285.92530605102,45285.94614217012,45285.92530605102,3.9541400282492103,0.44575203210823156,-36.247977799095565,-8.720697974095835,0.1746932927496767,9.424448655051428,0.014596329985297656,0.35235372757812605,4.962518297588372,0.35235372757812605,0.057655138212639394,14.91959087466831,-2.758884485786303,0.12715784114637896,5.846874836335955,9.372784095544299,0.0064912045121561755,51892.73966623711,51892.74590786892,51892.73966623711,6.5807321814115936,0.3739936960201125,-25.45173414299692,-3356602.7861747495,0.03149010572430206,-0.0004800987586124648,3363214.049799496,0.03145909041025221,,,,,,,,,,,,,
16,120.53888639700745,130.24513021309394,275554.28,275859.97,47.854521032167206,13.19268117451102,275694.7870883186,276227.0450588649,-4.415653623953884,0.15654591590230466,74.10246126925178,0.45963913873073325,0.45963913873073325,-0.14020547182272952,14.572609051869758,13.288268175185166,275677.51896732417,40.969503709590754,1.1333498166122744,74.47935657575601,15.682503736481083,0.0001229466886523788,140.58198801079612,140.25605898096313,0.03551473838081573,4.666285663082753,15.381476198360607,6.725468125638422,275672.2358797247,16.973400583164885,0.5295448840012368,2.4211146095070686,15.734898381551835,0.04396464522724919,0.4738523075213006,0.1471604596391315,2.9996915413672185,1.1272742807263165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,131.51170357028604,164.98318258496874,29465.027,30366.572,194.3917619750832,1866.3731928934408,30076.56592395448,30700.204685143843,-4.742078037610241,0.2156206977744674,101.58253673658594,0.67832323839019,0.67832323839019,-0.17605817293852064,15.75804134499276,40.79080247430132,29968.49374961532,253.6377365641368,0.505402422958164,11.950248545676654,15.758041081039572,0.04524544487031193,0.5584488230438598,0.28133675474975833,16.916566077308072,0.12323389820099942,19.032630370024822,49.29128435172608,30002.783926635617,161.32710995207776,0.5982928581883207,0.14309174775660075,13.200851169104928,0.032234249756566094,0.5500045860476611,0.3124161717763316,16.857988673394107,1.4016154682426392,15.561640394570404,4.370169276600453,31890.522717527445,31890.527806974646,31890.522717527445,-249.322025952263,0.5032282442776257,12.247973201497189,-2129.9115875622815,0.0032345633638351462,15.56163808940555,0.057853481659337944,2.7580086329116495,2.963845929558742,2.7580086329116495,0.27654952424559187,16.843798859995992,-0.1114420596333853,-2.430346555100414,0.10662291386537105,,,,,,,,,,,,,,,,,,,,,,,,,,
18,120.53852842780908,130.24490460613742,55839.73,55902.72,8.711071632938081,2.0831361552611933,55864.07743357862,55734.65565546015,0.9936801636105679,0.13829292955927125,55.78911153864191,0.3865285533992318,0.23340847927719133,0.15312007412204048,13.173152494875312,2.110756114292923,55859.25755203254,6.841368180391667,0.7219060135437181,2.7355043331182367,13.173145975158244,0.033508943962909155,0.31001144483331844,0.10861171032886797,7.00706724015124,0.540919820636774,12.72424796909393,2.3008641005148514,55859.47159149109,7.64962635711142,0.6761479663958223,1.4550034350118088,12.729022716174157,0.03678738038361275,0.3130676844672787,0.12233715230724417,6.681144119904941,1.1640899149097708,11.689631400944293,0.007531640072756825,55859.11188014102,55859.22388409732,55859.11188014102,9.434033001187867,1.1597046934674342,-59.67585401855734,10.778094774533407,0.8559508742954017,11.689621737164185,0.017130041516733262,0.30769959262223584,6.189888450260398,0.30769959262223584,-0.1497274113375644,11.257100355791838,-4.709917113823818,0.17106531338171524,8.30776049059837,11.760041151794413,0.007237873600315671,58796.25885358044,58796.28138780584,58796.25885358044,8.023013939593573,1.098500912860118,-51.47675961454602,4391150.134366482,0.10998934505590685,-0.005127570453478934,-4394083.323150123,0.10994877887250752,11.058409894377835,0.006638036780082262,0.31334993974092445,14.583152207668613,0.31334993974092445,-0.06639271810663093,22.399632813915733,-11.864316640968903,0.19062744697110698,-8.655605633825136,1.2128472147413527,-0.15519863016896493,-11.767527118951769
19,120.55975655592192,130.24575594079215,244324.83,244518.5,27.12690315778477,4.543541062976048,244469.14789333066,245730.56182082946,-10.462976730661193,0.14006765713731373,39.351929556577474,0.7451742310665987,0.7451742310665987,-0.5232838652196471,13.47336810424812,10.128956007382405,244418.3370185262,39.77419665741259,0.4751044488482144,25.267356388705164,13.473368981948441,0.05230005796959446,0.4828162294770766,0.20537073498049135,4.601849613385963,0.8644295651140244,13.44244906937326,8.933439282798057,244418.1473651617,42.00276721991569,0.6151012059975027,9.290238932655978,17.491670347837903,0.035920271407616215,0.48398354210029654,0.11241806616804093,14.290400050166529,2.0223405799774716,13.392126532710039,0.021104159472366026,242661.95914659667,242661.96487391024,242661.95914659667,396.66484244435406,0.26436012261503544,52.69053898719122,-2122.5168538327357,0.10081285400886564,,,,,,,,,,,13.39627781867975,0.021271081687120892,240809.84561285493,240809.87939759032,240809.84561285493,101.62913111090988,-0.32551877697001,127.55937766239538,-20551365.09518151,0.10875545947270175,0.00778250425160161,20554981.693385836,0.10874634352155518,,,,,,,,,,,,,
20,131.51264379077475,164.9840286421677,154731.34,154890.77,29.02424953544066,8.37834199407565,154826.56393756808,154641.67712693155,1.1206345981374926,0.18205011312451794,82.46537562574925,0.5972774105757512,0.36200680960951087,0.23527060096624033,14.020999832857669,8.090382501663195,154806.8861542451,36.94026135332681,0.549231424468966,7.545194355844766,14.021003138467838,0.0507456583321699,0.47385154771208293,0.23170171714220644,18.383534852625488,1.2362560060216155,14.71446159828227,8.495153088633549,154808.56695486396,35.01739768572509,0.5900278867413551,0.21993248588884093,14.79325038818734,0.058505332362200894,0.4750433703459194,0.2109690931587467,18.502394877392447,2.750540300475264,13.315599718108896,0.02928332864308711,116342.02149245275,116342.0230451022,116342.02149245275,37.0155475297925,0.5136042662746082,13.07708053131815,38473.69711130507,0.0022510393194246636,,,,,,,,,,,11.451605950557571,0.018076405947960318,155321.54429812287,155321.54443823043,155321.54429812287,39.9535722963567,0.5567219670988023,6.5972296493028795,-15356243.224679241,0.09605582627193263,-0.0016839946081216224,15355745.789278436,0.09605778077045057,10.412317374688895,0.026510767984328533,0.48877795386777034,3.3674537732098306,0.48877795386777034,-0.27131589524287136,18.165117912323648,1.2938008067524618,-285.62049241545003,11.986566225925442,-2.1705510091105764,285.6468428248642,11.987521528248347
